id,text,target
86426,@USER She should ask a few native Americans what their take on this is.,1
16820,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,0
62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",1
43605,@USER @USER Obama wanted liberals &amp; illegals to move into red states,0
97670,@USER Liberals are all Kookoo !!!,1
52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,1
45157,@USER Buy more icecream!!!,0
82776,@USER @USER @USER It’s not my fault you support gun control,0
42992,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,0
28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,1
56392,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,0
86735,@USER you are also the king of taste,0
95686,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,0
71446,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",0
23958,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,0
28195,@USER @USER @USER gun control! That is all these kids are asking for!,1
82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,1
63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,0
77665,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,1
83484,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",0
74932,@USER @USER You can tell he is a hooper too,0
91252,@USER I feel like he is better chasing the title,0
25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,1
81613,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,0
82333,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,0
13017,@USER No wonder he is being apologetic and more social these day....,0
18129,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL,0
74358,@USER Blow hard,0
82599,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,0
40212,"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be.""",0
78367,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,0
66596,3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.,0
70999,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh,0
36026,"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me""",0
29439,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀,0
32305,@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic,0
77243,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,0
73205,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.,0
48553,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.,0
43913,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,0
92056,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion,0
33853,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",1
75215,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,1
96218,#WalkAway liberals......Your party is POISON. URL,0
57013,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,1
20883,@USER You are lying. Stick with the facts. We pay more than that now.,0
74831,@USER Trump kicks dem butt - its so fun.,1
28204,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL,0
42024,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,0
84664,@USER And this from the clown that should be in prison?,1
47153,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,1
76826,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either..""",0
27645,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",0
64429,@USER I mean it worked for gun control right? URL,1
20943,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,0
78064,@USER Principled conservatives are #Hypocrickets,0
14122,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa,0
39051,@USER Bring out his Antifa criminal son to campaign for him,0
54546,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.,0
75992,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL",0
45068,@USER She is drinking so much koolaid she’s bloated.,1
17259,@USER Holder needs to be prosecuted,0
95225,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!,0
84667,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,1
23784,@USER well...? URL,0
30115,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",0
69281,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,0
15322,@USER Great news! Old moonbeam Just went into a coma! 😂,0
75089,@USER OMG HE IS SO EXTRA ILY,0
21379,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,1
52102,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!,0
44209,@USER @USER what a baby! URL,0
96664,@USER you are very persuasive fam,0
12559,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL,0
61914,@USER Burt. A cool dude.,0
94767,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,0
64835,@USER Kind of like what trump does all the time huh?,0
41353,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,0
52252,@USER Fuck em,1
91001,@USER Good move....he is the big loser,1
18495,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce,0
88013,@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.,0
66349,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",1
16052,@USER she is idk what's going on,0
49996,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL,0
10972,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.,0
69160,@USER The laughs I’ve gotten from you are enough. 😌,0
28380,@USER @USER @USER well?,0
40252,@USER @USER @USER First of all— they don’t even have pizza at Panera,0
39907,@USER @USER @USER please don't kill me. antifa on the other hand...,1
16164,@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.,0
52824,@USER Good girl @USER,0
13420,@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.,0
16940,@USER Dont believe the hype.,1
83816,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.,0
99156,#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL,0
11255,"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.""""",0
17577,@USER She is a goddess,0
59998,"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.""",1
81119,@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!,0
23179,@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.,0
64776,@USER SJSHSJ THATS MY JOB BITCH,1
95712,@USER Do they discuss Haiti?,0
69972,@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat,1
37115,@USER He is very skilled😂😂,0
80696,@USER You are amazing 💛💛💛,0
68163,@USER Fist pump was for the troops.,0
66109,@USER I thought Canada had strict gun control.  Help me understand what is happening.,0
19419,@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias,0
74285,@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP,0
77319,@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.,1
30517,@USER @USER @USER Have you seen or listened to your ANTIFA pals?,0
67758,@USER Your titles scare me a little bit. ;-),0
48223,@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli,0
47168,@USER And who seems to be getting things done.,0
53947,I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer (YFC 2),0
49504,@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!,1
66291,@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.,0
31229,@USER This game sucks donkey balls,1
29241,@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄,0
69232,@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,0
36471,@USER @USER Doesn't he partly fund Antifa?,0
32897,@USER He is a DUMBASS !!!!!,1
62072,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL,1
95444,@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL,1
51172,@USER @USER O.K. Conservatives get to the polls. Vote red.,0
62481,@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail,1
71895,"A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."" URL #MAGA #tcot""",0
78366,@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.,0
39021,@USER Oh my Carmen. He is SO FRICKING CUTE,1
51815,@USER @USER @USER The 2015 manifesto promised me my vote back. So where is it? You think Brexit would have gone through if all the Brits in the EU27 had been allowed to vote? The referendum was gerrymandered.,0
21367,@USER GOOBER,0
33797,@USER Another uninformed,0
11160,@USER I forgot he is their foster child!,0
32916,"@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders"" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP""",1
47427,@USER No fucking way he said this!,0
29556,@USER I'm not surprised. It takes a sick woman to make this type of accusations. The kind you can only find on the far left. Liberals are praying that the really weak members of the GOP like Collins and Flake will pull back their support.,0
32688,@USER @USER @USER @USER @USER @USER @USER @USER @USER or where 25 Oct 2005 Brazil citizens overwhelming voted “No” on the government implementing strict gun control by a factor of 63.9%  And the Brazilian government still violates that referendum everyday as Brazilians are murdered w/zero effective method of self defense,0
57850,"...If we claim to be without sin, we deceive ourselves and the truth is not in us. If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 John 1:5-9)""",0
62815,@USER He always shows dedication at what he does no wonder he is the best URL,0
69928,Now she scarred herself for life lol #MAGA URL,1
13872,Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans,1
30791,@USER Reagan also signed the first gun control bill as governor of CA,0
54292,30+ years as a JUDGE...6 Extensive backgrounds...NOT a peep...link to TRUMP...BOOM... Do conservatives only rape liberals??? URL,0
52375,"(1) This man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others.  (2) I'm waiting for gun control advocates to add this to their list of school shootings.""  (3) Who buys .22 caliber handguns? Why? URL",0
74004,@USER @USER Leftists showing yet again how vile they can be,1
70838,@USER He is a drunk crazy man.,1
64577,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS ! THANK YOU RENA ! #MAGA 🇺🇸😀💕🇺🇸 DEAN !  @USER URL,0
44448,@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.,0
45337,@USER But Liberals do.,0
15991,@USER All that money hadn't made u smarter.,1
25009,@USER Yes!! He is from Gilmer!! It makes me laugh so much!,0
90990,@USER U both r my lifeline❤🙏😂 @USER,0
65785,@USER Always thought H Ford was a level headed guy! Guess not! Note to Ford: climate change is summer-fall- winter-spring!! Happens every year! Get over it!,0
38837,@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉,1
94182,@USER @USER Unfortunately you're right. Keep it real.  SHE is the assault weapon!,0
77653,@USER She is Real Rocky 🔥🔥🔥 Oh My God !!,0
12892,@USER “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her,0
16885,@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !,1
46581,@USER Yes she is,0
41517,@USER @USER @USER He tried this before and it went nowhere. He's 100% pro gun control. Done.,0
22717,@USER @USER @USER @USER @USER He could have killed as many with a hunting rifle with the time and vantage he had. He had close to an hour before police entered his room. His actual shooting was over 10 min. Making this about gun control is just going to get more people killed. We need to be smarter.,0
88539,"@USER @USER Aha yes, I see that. The individual sense of needing to belong to a winning team"" because of the constant conditioning of self-devaluation. I see a strong sense of this on the Q side but on the left/hillary/antifa side as well regardless if they think they're winning or not.""",0
65786,@USER @USER Oh no I know why that I just don't know what she is talking about because I don't see a tweet she is repling too lol,0
54437,@USER And here we have another demonstration that gun free zones don’t work. Brought to you by a liberal who more than likely supports stricter gun control.,0
57943,@USER You have no plan for the environment. Even conservatives should be able to understand that you have to be able to live on the planet to make money there.,0
